id,title,release_date,runtime,production_countries,overview,cast,crew,,,,,,,
2702,Little Children,06/10/2006,136,United States of America,"The lives of two lovelorn spouses from separate marriages, a registered sex offender, and a disgraced ex-police officer intersect as they struggle to resist their vulnerabilities and temptations.","Kate Winslet,Patrick Wilson,Jennifer Connelly,Jackie Earle Haley,Noah Emmerich","Director:  Todd Field , Screenwriter:  Todd Field,Screenwriter:  Tom Perrotta , Producer:  Todd Field,Producer:  Albert Berger,Producer:  Ron Yerxa",,,,,,,
2703,Gossip,21/04/2000,90,United States of America,"On a beautiful college campus, something ugly is about to be spread around. A bit of gossip that was told is starting to take a frightening turn. Who could it have offended and how far will the person on the other side of the gossip handle the embarrassing situation.","Joshua Jackson,James Marsden,Kate Hudson,Lena Headey,Norman Reedus","Director:  Davis Guggenheim , Screenwriter:  Gregory Poirier , Producer:  ",,,,,,,
2704,A Walk on the Moon,29/01/1999,107,"Australia,United States of America",The world of a young housewife is turned upside down when she has an affair with a free-spirited blouse salesman.,"Diane Lane,Viggo Mortensen,Liev Schreiber,Anna Paquin,Tovah Feldshuh","Director:  Tony Goldwyn , Screenwriter:   , Producer:  Tony Goldwyn,Producer:  Dustin Hoffman,Producer:  Neil Koenigsberg,Producer:  Jay Cohen,Producer:  Lee Gottsegen,Producer:  Murray Schisgal",,,,,,,
2705,Catch a Fire,27/10/2006,101,"France,United Kingdom,United States of America,South Africa","The true story of anti-apartheid activists in South Africa, and particularly the life of Patrick Chamusso, a timid foreman at Secunda CTL, the largest synthetic fuel plant in the world. Patrick is wrongly accused, imprisoned and tortured for an attempt to bomb the plant, with the injustice transforming the apolitical worker into a radicalised insurgent, who then carries out his own successful sabotage mission.","Tim Robbins,Derek Luke,Bonnie Henna,Mncedisi Shabangu,Tumisho Masha","Director:  Phillip Noyce , Screenwriter:  Shawn Slovo , Producer:  Tim Bevan,Producer:  Eric Fellner,Producer:  Anthony Minghella,Producer:  Robyn Slovo",,,,,,,
2706,Soul Survivors,06/09/2001,84,United States of America,"A female collage co-ed freshman who was involved in a fatal car crash discovers she may not have survived the tragedy after all when she becomes caught between the world of the living and the dead A sort of limbo state of being between both the real and the spirit worlds in which the ghosts of the afterlife want to collect her, or even worse, use her body in its transition state to enter our world","Eliza Dushku,Melissa Sagemiller,Wes Bentley,Casey Affleck,Angela Featherstone","Director:  Stephen Carpenter , Screenwriter:   , Producer:  ",,,,,,,
2707,Jefferson in Paris,31/03/1995,139,United States of America,"His wife having recently died, Thomas Jefferson accepts the post of United States ambassador to pre-revolutionary France, though he finds it difficult to adjust to life in a country where the aristocracy subjugates an increasingly restless peasantry. In Paris, he becomes smitten with cultured artist Maria Cosway, but, when his daughter visits from Virginia accompanied by her attractive slave, Sally Hemings, Jefferson's attentions are diverted.","Nick Nolte,Greta Scacchi,Thandie Newton,Gwyneth Paltrow,Jean-Pierre Aumont","Director:  James Ivory , Screenwriter:   , Producer:  Ismail Merchant",,,,,,,
2708,Easy Virtue,01/01/2008,93,"Canada,United Kingdom","A young Englishman marries a glamorous American. When he brings her home to meet the parents, she arrives like a blast from the future - blowing their entrenched British stuffiness out the window.","Jessica Biel,Ben Barnes,Kristin Scott Thomas,Colin Firth,Kimberley Nixon","Director:  Stephan Elliott , Screenwriter:   , Producer:  Barnaby Thompson,Producer:  James D. Stern,Producer:  Joseph Abrams",,,,,,,
2709,Caravans,02/11/1978,127,United States of America,"This epic adventure-drama based on James Michener's best-selling novel concerns a young American embassy official who is sent into the Middle-Eastern desert to find the missing daughter of a US Senator. The young woman has left her husband, a Colonel in the Shadom - she was his number two wife - and has opted for the lifestyle of a nomadic tribe. When the diplomat locates the girl he joins the caravan and attempts to persuade the girl to return.","Anthony Quinn,Jennifer O'Neill,Michael Sarrazin,Christopher Lee,Joseph Cotten","Director:  James Fargo , Screenwriter:  Thomas A. McMahon,Screenwriter:  Nancy Voyles Crawford,Screenwriter:  Lorraine Williams , Producer:  Elmo Williams",,,,,,,
2710,Mr. Turner,31/10/2014,150,United Kingdom,"Eccentric British painter J.M.W. Turner  lives his last 25 years with gusto and secretly becomes involved with a seaside landlady, while his faithful housekeeper bears an unrequited love for him.","Timothy Spall,Dorothy Atkinson,Marion Bailey,Paul Jesson,Lesley Manville","Director:  Mike Leigh , Screenwriter:   , Producer:  Georgina Lowe",,,,,,,
2711,Wild Grass,20/05/2009,104,"France,Italy","Marguerite loses her wallet, and it's found by Georges, a seemingly happy head of family. As he looks through the wallet and examines the photos of Marguerite, he finds he's fascinated with her and her life, and soon his curiosity about her becomes an obsession.","Andr\u00e9 Dussollier,Sabine Az\u00e9ma,Emmanuelle Devos,Mathieu Amalric,Anne Consigny","Director:  Alain Resnais , Screenwriter:   , Producer:  Jean-Louis Livi",,,,,,,
2712,Amen.,13/02/2002,132,"France,Germany,Romania","The film ""Amen."" examines the links between the Vatican and Nazi Germany. The central character is Kurt Gerstein, a member of the Institute for Hygiene of the Waffen-SS who is horrified by what he sees in the death camps. Moreover, he is shocked to learn that the process he used to purify water for his troops, by using zyklon, served as a basis to kill people in gas chambers.","Ulrich Tukur,Mathieu Kassovitz,Ulrich M\u00fche,Michel Duchaussoy,Marcel Iure\u0219","Director:  Costa-Gavras , Screenwriter:  Costa-Gavras,Screenwriter:  Jean-Claude Grumberg , Producer:  Andrei Boncea,Producer:  Mich\u00e8le Ray-Gavras",,,,,,,
2713,Reign of Assassins,01/09/2010,117,"China,Taiwan,Hong Kong","Set in ancient China, Zeng Jing is a skilled assassin who finds herself in possession of a mystical Buddhist monk's remains. She begins a quest to return the remains to its rightful resting place, and thus places herself in mortal danger because a team of assassins is in a deadly pursuit to possess the remains which holds an ancient power-wielding secret.","Michelle Yeoh,Jung Woo-sung,Wang Xue-qi,Barbie Hsu,Shawn Yue","Director:  John Woo,Director:  Chao-Bin Su , Screenwriter:  Chao-Bin Su , Producer:  John Woo,Producer:  Terence Chang,Producer:  Shaoye Shi",,,,,,,
2714,The Lucky Ones,26/09/2008,113,United States of America,"The story revolves around three soldiers — Colee, T.K. and Cheaver — who return from the Iraq War after suffering injuries and learn that life has moved on without them. They end up on an unexpected road trip across the U.S.","Tim Robbins,Rachel McAdams,Michael Pe\u00f1a,Kerry Bish\u00e9,Molly Hagan","Director:  Neil Burger , Screenwriter:  Neil Burger,Screenwriter:  Dirk Wittenborn , Producer:  Brian Koppelman,Producer:  David Levien,Producer:  Neil Burger,Producer:  Rick Schwartz",,,,,,,
2715,Margaret,30/09/2011,149,United States of America,"A young woman witnesses a bus accident, and is caught up in the aftermath, where the question of whether or not it was intentional affects many people's lives.","Anna Paquin,Matt Damon,Mark Ruffalo,Matthew Broderick,Jeannie Berlin","Director:  Kenneth Lonergan , Screenwriter:   , Producer:  Sydney Pollack,Producer:  Scott Rudin,Producer:  Gary Gilbert",,,,,,,
2716,Stan Helsing,27/10/2009,90,"Canada,United States of America","It's Halloween night and video store clerk Stan Helsing just got stuck with a last minute request to deliver some videos. With his best friend, his best friend's date, and a smoking hot ex-girlfriend waiting to go to a party, Stan convinces them to take a side trip to Stormy Night Estates for the drop. But the group gets locked inside and Stan discovers he's actually Stan Van Helsing, descendan","Diora Baird,Leslie Nielsen,Steve Howey,Kenan Thompson,Tara Wilson","Director:  Bo Zenga , Screenwriter:   , Producer:  ",,,,,,,
2717,Flipped,06/08/2010,89,United States of America,"When Juli meets Bryce in the second grade, she knows it's true love. After spending six years trying to convince Bryce the same, she's ready to give up - until he starts to reconsider.","Madeline Carroll,Callan McAuliffe,Rebecca De Mornay,Anthony Edwards,John Mahoney","Director:  Rob Reiner , Screenwriter:  Rob Reiner,Screenwriter:  Andrew Scheinman , Producer:  Rob Reiner,Producer:  Alan Greisman",,,,,,,
2718,Brokeback Mountain,02/09/2005,134,"Canada,United States of America",Brokeback Mountain is an Ang Lee film about two modern day cowboys who meet on a shepherding job in the summer of ’63. The two share a raw and powerful summer together that turns into a life long relationship conflicting with the lives they are supposed to live.,"Heath Ledger,Jake Gyllenhaal,Randy Quaid,Michelle Williams,Anne Hathaway","Director:  Ang Lee , Screenwriter:  Diana Ossana,Screenwriter:  Annie Proulx,Screenwriter:  Larry McMurtry , Producer:  Diana Ossana,Producer:  James Schamus",,,,,,,
2719,Clueless,19/07/1995,97,United States of America,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.","Alicia Silverstone,Stacey Dash,Brittany Murphy,Paul Rudd,Donald Faison","Director:  Amy Heckerling , Screenwriter:  Amy Heckerling , Producer:  Scott Rudin,Producer:  Robert Lawrence",,,,,,,
2720,Far from Heaven,01/09/2002,107,United States of America,"In 1950s Connecticut, a housewife faces a marital crisis and mounting racial tensions in the outside world.","Julianne Moore,Dennis Quaid,Dennis Haysbert,Patricia Clarkson,Viola Davis","Director:  Todd Haynes , Screenwriter:  Todd Haynes , Producer:  Christine Vachon,Producer:  Jody Patton",,,,,,,
2721,Hot Tub Time Machine 2,20/02/2015,93,United States of America,"When Lou, who has become the ""father of the Internet,"" is shot by an unknown assailant, Jacob and Nick fire up the time machine again to save their friend.","Rob Corddry,Craig Robinson,Clark Duke,Adam Scott,Chevy Chase","Director:  Steve Pink , Screenwriter:   , Producer:  Andrew Panay",,,,,,,
2722,Quills,22/11/2000,124,"Germany,United Kingdom,United States of America","A nobleman with a literary flair, the Marquis de Sade lives in a madhouse where a beautiful laundry maid smuggles his erotic stories to a printer, defying orders from the asylum's resident priest. The titillating passages whip all of France into a sexual frenzy, until a fiercely conservative doctor tries to put an end to the fun.","Geoffrey Rush,Kate Winslet,Joaquin Phoenix,Michael Caine,Billie Whitelaw","Director:  Philip Kaufman , Screenwriter:  Doug Wright , Producer:  Julia Chasman",,,,,,,
2723,Seven Psychopaths,07/09/2012,110,United Kingdom,A struggling screenwriter inadvertently becomes entangled in the Los Angeles criminal underworld after his oddball friends kidnap a gangster's beloved Shih Tzu.,"Colin Farrell,Sam Rockwell,Woody Harrelson,Christopher Walken,Tom Waits","Director:  Martin McDonagh , Screenwriter:  Martin McDonagh , Producer:  Graham Broadbent,Producer:  Martin McDonagh,Producer:  Peter Czernin",,,,,,,
2724,The Caveman's Valentine,19/01/2001,105,United States of America,"In this spine-tingling and visually stunning thriller, Academy AwardÂ®-nominee Samuel L. Jackson (Unbreakable, Shaft, Pulp Fiction delivers a ""full-throttle performance"" (People) as Romulus Ledbetter, a misunderstood musician turned recluse, hiding from personal demons in a New York City cave.  When Romulus finds the frozen body of a young drifter in a tree, the authorities - including his police officer daughter (Aunjanne Ellis) - claim the death is accidental. Romulus is convinced the man was murdered by prominent art photographer David Leppenraub (Colm Feore). But how can he prove he's right when everyone thinks he's insane?","Samuel L. Jackson,Colm Feore,Ann Magnuson,Aunjanue Ellis,Tamara Tunie","Director:  Kasi Lemmons , Screenwriter:   , Producer:  ",,,,,,,
2725,Downfall,08/09/2004,156,"Austria,Germany,Italy","In April of 1945, Germany stands at the brink of defeat with the Russian Army closing in from the east and the Allied Expeditionary Force attacking from the west. In Berlin, capital of the Third Reich, Adolf Hitler proclaims that Germany will still achieve victory and orders his generals and advisers to fight to the last man. When the end finally does come, and Hitler lies dead by his own hand, what is left of his military must find a way to end the killing that is the Battle of Berlin, and lay down their arms in surrender.","Bruno Ganz,Alexandra Maria Lara,Corinna Harfouch,Ulrich Matthes,Juliane K\u00f6hler","Director:  Oliver Hirschbiegel , Screenwriter:  Bernd Eichinger , Producer:  Bernd Eichinger",,,,,,,
2726,The Sea Inside,03/09/2004,125,"Spain,France,Italy","The Sea Inside is about Spaniard Ramón Sampedro, who fought a 30-year campaign to win the right to end his life with dignity. It is the story of Ramón’s relationships with two women: Julia a lawyer who supports his cause, and Rosa, a local woman who wants to convince him that life is worth living.","Javier Bardem,Bel\u00e9n Rueda,Lola Due\u00f1as,Joan Dalmau,Josep Maria Pou","Director:  Alejandro Amen\u00e1bar , Screenwriter:  Alejandro Amen\u00e1bar,Screenwriter:  Mateo Gil , Producer:  Fernando Bovaira,Producer:  Alejandro Amen\u00e1bar",,,,,,,
2727,Under the Skin,14/03/2014,108,"United Kingdom,Switzerland,United States of America","Jonathan Glazer's atmospheric, visually arresting abstraction stars Scarlett Johansson as a seductive alien who prowls the streets of Glasgow in search of prey: unsuspecting men who fall under her spell, only to be consumed by a strange liquid pool.","Scarlett Johansson,Kry\u0161tof H\u00e1dek,Paul Brannigan,Michael Moreland,Scott Dymond","Director:  Jonathan Glazer , Screenwriter:  Jonathan Glazer,Screenwriter:  Walter Campbell , Producer:  Nick Wechsler,Producer:  James Wilson",,,,,,,
2728,"Good Morning, Vietnam",23/12/1987,121,United States of America,"Radio funny man Adrian Cronauer is sent to Vietnam to bring a little comedy back into the lives of the soldiers. After setting up shop, Cronauer delights the G.I.s but shocks his superior officer, Sergeant Major Dickerson, with his irreverent take on the war. While Dickerson attempts to censor Cronauer's broadcasts, Cronauer pursues a relationship with a Vietnamese girl named Trinh, who shows him the horrors of war first-hand.","Robin Williams,Forest Whitaker,Tung Thanh Tran,Chintara Sukapatana,Bruno Kirby","Director:  Barry Levinson , Screenwriter:   , Producer:  Mark Johnson,Producer:  Larry Brezner",,,,,,,
2729,The Last Godfather,29/12/2010,100,,"Young-goo the son of mafia boss Don Carini, is too foolish to be part of the mafia elite. One day, Young-goo comes to his father and is trained by Tony V to be his father's successor. A few days later, Young-goo accidentally rescues Nancy, the only daughter of Don Bonfante, the boss of a rival mafia family. But Vinnie, an under-boss of the Bonfante family kidnapped her and fabricates that Young-goo has taken her. Vinnie's behavior provokes an armed conflict between the two families.","Harvey Keitel,Jason Mewes,Blake Clark,Jon Polito,Paul Hipp","Director:  Shim Hyung-Rae , Screenwriter:   , Producer:  ",,,,,,,
2730,Justin Bieber: Never Say Never,11/02/2011,105,United States of America,"Tells the story of Justin Bieber, the kid from Canada with the hair, the smile and the voice: It chronicles his unprecedented rise to fame, all the way from busking in the streets of Stratford, Canada to putting videos on YouTube to selling out Madison Square Garden in New York as the headline act during the My World Tour from 2010. It features Usher, Scooter Braun, Ludacris, Sean Kingston, Antonio ""L.A."" Reid, Boyz II Men, Miley Cyrus, Jaden Smith, Justin's family members and parts of his crew and huge fanbase in a mix of interviews and guest performances. It was released in 3D in theaters all around the world and is the highest grossing concert movie of all time, beating the previous record held by Michael Jackson's This Is It from 2009.","Justin Bieber,Miley Cyrus,Usher Raymond,Jaden Smith,Sean Kingston","Director:  Jon M. Chu , Screenwriter:   , Producer:  ",,,,,,,
2731,Black Swan,02/12/2010,108,United States of America,"A ballet dancer wins the lead in ""Swan Lake"" and is perfect for the role of the delicate White Swan - Princess Odette - but slowly loses her mind as she becomes more and more like Odile, the Black Swan.","Natalie Portman,Mila Kunis,Vincent Cassel,Barbara Hershey,Winona Ryder","Director:  Darren Aronofsky , Screenwriter:  Mark Heyman,Screenwriter:  Andres Heinz,Screenwriter:  John J. McLaughlin , Producer:  Joseph P. Reidy,Producer:  Mike Medavoy,Producer:  Arnold Messer,Producer:  Brian Oliver,Producer:  Scott Franklin,Producer:  Jerry Fruchtman,Producer:  Rose Garnett",,,,,,,
2732,The Godfather: Part II,20/12/1974,200,United States of America,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.","Al Pacino,Robert Duvall,Diane Keaton,Robert De Niro,John Cazale","Director:  Francis Ford Coppola , Screenwriter:  Francis Ford Coppola,Screenwriter:  Mario Puzo , Producer:  Francis Ford Coppola,Producer:  Gray Frederickson,Producer:  Fred Roos,Producer:  Mona Skager",,,,,,,
2733,Save the Last Dance,12/01/2001,112,United States of America,"A white midwestern girl moves to Chicago, where her new boyfriend is a black teen from the South Side with a rough, semi-criminal past.","Julia Stiles,Sean Patrick Thomas,Kerry Washington,Fredro Starr,Terry Kinney","Director:  Thomas Carter , Screenwriter:   , Producer:  Robert W. Cort,Producer:  David Madden,Producer:  Douglas Curtis,Producer:  Scarlett Lacey,Producer:  Marie Cantin",,,,,,,
2734,A Nightmare on Elm Street 4: The Dream Master,19/08/1988,99,United States of America,"Dream demon Freddy Krueger is resurrected from his apparent demise, and rapidly tracks down and kills the remainder of the Elm Street kids. However, Kristen, who can draw others into her dreams, wills her special ability to her friend Alice. Alice soon realizes that Freddy is taking advantage of that unknown power to pull a new group of children into his foul domain.","Robert Englund,Tuesday Knight,Ken Sagoes,Rodney Eastman,Lisa Wilcox","Director:  Renny Harlin , Screenwriter:  Brian Helgeland,Screenwriter:  Jim Wheat,Screenwriter:  Ken Wheat , Producer:  Robert Shaye,Producer:  Rachel Talalay",,,,,,,
2735,Miracles from Heaven,17/03/2016,117,United States of America,A faith based movie. A young girl suffering from a rare digestive disorder finds herself miraculously cured after surviving a terrible accident. Based on the book 'Three Miracles From Heaven' by Christy Beam.,"Jennifer Garner,Kylie Rogers,Martin Henderson,Brighton Sharbino,Courtney Fansler","Director:  Patricia Riggen , Screenwriter:   , Producer:  Joe Roth,Producer:  T.D. Jakes,Producer:  DeVon Franklin",,,,,,,
2736,"Dude, Where’s My Car?",15/12/2000,83,United States of America,"Jesse and Chester, two bumbling stoners, wake up one morning from a night of partying and cannot remember where they parked their car. They encounter a variety of people while looking for it, including their angry girlfriends, an angry street gang, a transexual stripper, a cult of alien seeking fanatics, and aliens in human form looking for a mystical device that could save or destroy the world.","Ashton Kutcher,Seann William Scott,Kristy Swanson,Jennifer Garner,Marla Sokoloff","Director:  Danny Leiner , Screenwriter:  Philip Stark , Producer:  Gil Netter,Producer:  Broderick Johnson,Producer:  Andrew A. Kosove,Producer:  Wayne Allan Rice",,,,,,,
2737,Young Guns,12/08/1988,107,United States of America,"A group of young gunmen, led by Billy the Kid, become deputies to avenge the murder of the rancher who became their benefactor. But when Billy takes their authority too far, they become the hunted.","Emilio Estevez,Kiefer Sutherland,Lou Diamond Phillips,Charlie Sheen,Dermot Mulroney","Director:  Christopher Cain , Screenwriter:  John Fusco , Producer:  Joe Roth,Producer:  Christopher Cain",,,,,,,
2738,St. Vincent,09/10/2014,102,United States of America,"A young boy whose parents just divorced finds an unlikely friend and mentor in the misanthropic, bawdy, hedonistic, war veteran who lives next door.","Bill Murray,Melissa McCarthy,Naomi Watts,Jaeden Lieberher,Chris O'Dowd","Director:  Theodore Melfi , Screenwriter:  Theodore Melfi , Producer:  Fred Roos,Producer:  Jenno Topping,Producer:  Peter Chernin,Producer:  Theodore Melfi",,,,,,,
2739,About Last Night,14/02/2014,100,United States of America,"A modern reimagining of the classic romantic comedy, this contemporary version closely follows new love for two couples as they journey from the bar to the bedroom and are eventually put to the test in the real world.","Kevin Hart,Michael Ealy,Regina Hall,Joy Bryant,Christopher McDonald","Director:  Steve Pink , Screenwriter:  Leslye Headland , Producer:  William Packer,Producer:  Will Gluck",,,,,,,
2740,10 Things I Hate About You,30/03/1999,97,United States of America,"Bianca, a tenth grader, has never gone on a date, but she isn't allowed to go out with boys until her older sister Kat gets a boyfriend. The problem is, Kat rubs nearly everyone the wrong way. But Bianca and the guy she has her eye on, Joey, are eager, so Joey fixes Kat up with Patrick, a new kid in town just bitter enough for Kat.","Heath Ledger,Julia Stiles,Joseph Gordon-Levitt,Larisa Oleynik,David Krumholtz","Director:  Gil Junger , Screenwriter:   , Producer:  Andrew Lazar",,,,,,,
2741,The New Guy,10/05/2002,88,United States of America,"Nerdy high school senior Dizzy Harrison has finally gotten lucky -- after purposely getting expelled, he takes lessons in 'badass cool' from a convict and enrolls at a new school. But can he keep up the ruse?","DJ Qualls,Eliza Dushku,Zooey Deschanel,Lyle Lovett,Jerod Mixon","Director:  Ed Decter , Screenwriter:   , Producer:  Todd Garner,Producer:  Mark Ciardi,Producer:  Gordon Gray",,,,,,,
2742,National Lampoon's Loaded Weapon 1,04/02/1993,84,United States of America,"An LA detective is murdered because she has microfilm with the recipe to make cocaine cookies. A ""Lethal Weapon"" style cop team tries to find and stop the fiends before they can dope the nation by distributing their wares via the ""Wilderness Girls"" cookie drive.","Emilio Estevez,Samuel L. Jackson,Jon Lovitz,Tim Curry,Kathy Ireland","Director:  Gene Quintano , Screenwriter:  Gene Quintano,Screenwriter:  Don Holley , Producer:  Suzanne Todd,Producer:  David Willis",,,,,,,
2743,The Shallows,24/06/2016,86,United States of America,"An injured surfer stranded on a buoy needs to get back to shore, but the great white shark stalking her might have other ideas.","Blake Lively,\u00d3scar Jaenada,Angelo Josue Lozano Corzo,Jos\u00e9 Manuel Trujillo Salas,Brett Cullen","Director:  Jaume Collet-Serra , Screenwriter:  Anthony Jaswinski , Producer:  Lynn Harris,Producer:  Matti Leshem",,,,,,,
2744,The Butterfly Effect,22/01/2004,113,"Canada,United States of America","A young man struggles to access sublimated childhood memories. He finds a technique that allows him to travel back into the past, to occupy his childhood body and change history. However, he soon finds that every change he makes has unexpected consequences.","Ashton Kutcher,Melora Walters,Amy Smart,Elden Henson,William Lee Scott","Director:  Eric Bress,Director:  J. Mackye Gruber , Screenwriter:  Eric Bress,Screenwriter:  J. Mackye Gruber , Producer:  Chris Bender,Producer:  A.J. Dix,Producer:  J.C. Spink,Producer:  Anthony Rhulen",,,,,,,
2745,Snow Day,11/02/2000,89,United States of America,"When a school in upstate New York is snowed in, a group of students hi-jack a plow to keep the school closed..","Chevy Chase,Chris Elliott,Jean Smart,Iggy Pop,Pam Grier","Director:  Chris Koch , Screenwriter:   , Producer:  ",,,,,,,
2746,This Christmas,27/11/2007,117,United States of America,"This year Christmas with the Whitfields promises to be one they will never forget. All the siblings have come home for the first time in years and they've brought plenty of baggage with them. As the Christmas tree is trimmed and the lights are hung, secrets are revealed and family bonds are tested. As their lives converge, they join together and help each other discover the true meaning of family.","Loretta Devine,Delroy Lindo,Idris Elba,Regina King,Laz Alonso","Director:  Preston A. Whitmore II , Screenwriter:  Preston A. Whitmore II , Producer:  ",,,,,,,
2747,Baby Geniuses,12/03/1999,97,United States of America,"Scientist hold talking, super-intelligent babies captive, but things take a turn for the worse when a mix-up occurs between a baby genius and its twin.","Kathleen Turner,Christopher Lloyd,Kim Cattrall,Peter MacNicol,Dom DeLuise","Director:  Bob Clark , Screenwriter:  Bob Clark,Screenwriter:  Greg Michael , Producer:  ",,,,,,,
2748,The Big Hit,24/04/1998,91,United States of America,"Affable hit man Melvin Smiley is constantly being scammed by his cutthroat colleagues in the life-ending business. So, when he and his fellow assassins kidnap the daughter of an electronics mogul, it's naturally Melvin who takes the fall when their prime score turns sour. That's because the girl is the goddaughter of the gang's ruthless crime boss. But, even while dodging bullets, Melvin has to keep his real job secret from his unsuspecting fiancée, Pam.","Mark Wahlberg,Lou Diamond Phillips,Christina Applegate,China Chow,Avery Brooks","Director:  Kirk Wong , Screenwriter:  Ben Ramsey , Producer:  Graeme Revell,Producer:  Wesley Snipes,Producer:  Warren Zide,Producer:  John M. Eckert",,,,,,,
2749,Harriet the Spy,10/07/1996,100,United States of America,"When the secret notebook of a young girl who fancies herself a spy is found by her friends, her speculations make her very unpopular! Can she win her friends back?","Michelle Trachtenberg,Rosie O'Donnell,J. Smith-Cameron,Eartha Kitt,Vanessa Lee Chester","Director:  Bronwen Hughes , Screenwriter:  Theresa Rebeck,Screenwriter:  Douglas Petrie , Producer:  ",,,,,,,
2750,Child's Play 2,09/11/1990,84,United States of America,"Chuckie's back as the doll possessed by the soul of a serial killer, butchering all who stand in his way of possessing the body of a boy.","Alex Vincent,Jenny Agutter,Gerrit Graham,Christine Elise,Brad Dourif","Director:  John Lafia , Screenwriter:  Don Mancini , Producer:  David Kirschner",,,,,,,
2751,No Good Deed,10/09/2014,83,United States of America,"Terri is a devoted wife and mother of two, living an ideal suburban life in Atlanta when Colin, a charming but dangerous escaped convict, shows up at her door claiming car trouble. Terri offers her phone to help him but soon learns that no good deed goes unpunished as she finds herself fighting for survival when he invades her home and terrorizes her family.","Idris Elba,Taraji P. Henson,Leslie Bibb,Kate del Castillo,Henry Simmons","Director:  Sam Miller , Screenwriter:   , Producer:  William Packer",,,,,,,
2752,The Mist,21/11/2007,126,United States of America,"After a violent storm, a dense cloud of mist envelops a small Maine town, trapping artist David Drayton and his five-year-old son in a local grocery store with other people. They soon discover that the mist conceals deadly horrors that threaten their lives, and worse, their sanity.","Thomas Jane,Marcia Gay Harden,Laurie Holden,Andre Braugher,Toby Jones","Director:  Frank Darabont , Screenwriter:  Frank Darabont , Producer:  Frank Darabont,Producer:  Liz Glotzer",,,,,,,
2753,Ex Machina,21/01/2015,108,United Kingdom,"Caleb, a 26 year old coder at the world's largest internet company, wins a competition to spend a week at a private mountain retreat belonging to Nathan, the reclusive CEO of the company. But when Caleb arrives at the remote location he finds that he will have to participate in a strange and fascinating experiment in which he must interact with the world's first true artificial intelligence, housed in the body of a beautiful robot girl.","Domhnall Gleeson,Alicia Vikander,Oscar Isaac,Sonoya Mizuno,Corey Johnson","Director:  Alex Garland , Screenwriter:   , Producer:  Andrew Macdonald,Producer:  Allon Reich",,,,,,,
2754,Being John Malkovich,30/09/1999,112,United States of America,"Spike Jonze’s debut feature film is a love story mix of comedy and fantasy. The story is about an unsuccessful puppeteer named Craig, who one day at work finds a portal into the head of actor John Malkovich. The portal soon becomes a passion for anybody who enters it’s mad and controlling world of overtaking another human body.","John Cusack,Cameron Diaz,Catherine Keener,Charlie Sheen,John Malkovich","Director:  Spike Jonze , Screenwriter:   , Producer:  Steve Golin,Producer:  Vincent Landay,Producer:  Sandy Stern,Producer:  Michael Stipe",,,,,,,
2755,Two Can Play That Game,07/09/2001,90,United States of America,"Vivica A. Fox sizzles as a woman scorned who plans to get her man back by any means necessary. In this comedy about players and those who ""get played."" As corporate overachiever and all-around fly chick Shanté Smith, Fox thinks she's got the goods to keep her slickster boyfriend (Morris Chestnut) from straying - until he discovers a greener pasture, Shanté's archrival (Gabrielle Union)","Vivica A. Fox,Morris Chestnut,Anthony Anderson,Gabrielle Union,Wendy Raquel Robinson","Director:  Mark Brown , Screenwriter:   , Producer:  ",,,,,,,
2756,Earth to Echo,14/06/2014,89,United States of America,"After a construction project begins digging in their neighborhood, best friends Tuck, Munch and Alex inexplicably begin to receive strange, encoded messages on their cell phones. Convinced something bigger is going on, they go to their parents and the authorities. When everyone around them refuses to take the messages seriously, the three embark on a secret adventure to crack the code and follow it to its source. But taking matters into their own hands gets the trio in way over their heads when they discover a mysterious being from another world who desperately needs their help. The epic, suspenseful and exciting journey that follows will change all of their lives forever.","Teo Halm,Astro,Resse Hartwig,Ella Wahlestedt,Jason Gray-Stanford","Director:  Dave Green , Screenwriter:  Henry Gayden , Producer:  Ryan Kavanaugh,Producer:  Andrew Panay",,,,,,,
2757,Crazy/Beautiful,29/06/2001,99,United States of America,"At Pacific Palisades High, a poor Latino falls hard for a troubled girl from the affluent neighborhood.","Kirsten Dunst,Jay Hernandez,Bruce Davison,Herman Osorio,Miguel Castro","Director:  John Stockwell , Screenwriter:  Phil Hay,Screenwriter:  Matt Manfredi , Producer:  Rachel Pfeffer,Producer:  Harry J. Ufland,Producer:  Mary Jane Ufland",,,,,,,
2758,Letters from Iwo Jima,19/12/2006,141,"Japan,United States of America","The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II, as told from the perspective of the Japanese who fought it.","Ken Watanabe,Kazunari Ninomiya,Tsuyoshi Ihara,Ryo Kase,Shidou Nakamura","Director:  Clint Eastwood , Screenwriter:  Paul Haggis,Screenwriter:  Iris Yamashita , Producer:  Clint Eastwood,Producer:  Paul Haggis,Producer:  Steven Spielberg,Producer:  Robert Lorenz",,,,,,,
